,labels,ups,vibs,downs
0,vix==0 has_340,0.3058823529411765,0.31176470588235294,0.38235294117647056
1,vix==1 has_77,0.3246753246753247,0.4805194805194805,0.19480519480519481
2,vix==2 has_24,0.2916666666666667,0.4583333333333333,0.25
3,weekday==0 has_90,0.3,0.3,0.4
4,weekday==1 has_89,0.3595505617977528,0.4044943820224719,0.23595505617977527
5,weekday==2 has_91,0.25274725274725274,0.3516483516483517,0.3956043956043956
6,weekday==3 has_91,0.31868131868131866,0.3626373626373626,0.31868131868131866
7,nzd_direction==-1 has_54,0.2037037037037037,0.3333333333333333,0.46296296296296297
8,nzd_direction==0 has_296,0.3277027027027027,0.3547297297297297,0.31756756756756754
9,nzd_direction==1 has_100,0.31,0.36,0.33
10,tec_direction==-1 has_109,0.3577981651376147,0.3302752293577982,0.3119266055045872
11,tec_direction==0 has_217,0.2857142857142857,0.3548387096774194,0.35944700460829493
12,tec_direction==1 has_124,0.3064516129032258,0.3709677419354839,0.3225806451612903
13,lastday_direction==-1 has_159,0.3018867924528302,0.389937106918239,0.3081761006289308
14,lastday_direction==0 has_152,0.3355263157894737,0.3223684210526316,0.34210526315789475
15,lastday_direction==1 has_139,0.28776978417266186,0.34532374100719426,0.3669064748201439
16,vix==0 & weekday==0 has_70,0.3142857142857143,0.24285714285714285,0.44285714285714284
17,vix==0 & weekday==1 has_67,0.373134328358209,0.3880597014925373,0.23880597014925373
18,vix==0 & weekday==2 has_68,0.23529411764705882,0.3088235294117647,0.45588235294117646
19,vix==0 & weekday==3 has_69,0.2753623188405797,0.3333333333333333,0.391304347826087
20,vix==0 & nzd_direction==-1 has_44,0.20454545454545456,0.25,0.5454545454545454
21,vix==0 & nzd_direction==0 has_220,0.33181818181818185,0.3181818181818182,0.35
22,vix==0 & nzd_direction==1 has_76,0.2894736842105263,0.32894736842105265,0.3815789473684211
23,vix==0 & tec_direction==-1 has_55,0.36363636363636365,0.2545454545454545,0.38181818181818183
24,vix==0 & tec_direction==0 has_195,0.28717948717948716,0.3333333333333333,0.37948717948717947
25,vix==0 & tec_direction==1 has_90,0.3111111111111111,0.3,0.3888888888888889
26,vix==0 & lastday_direction==-1 has_106,0.3018867924528302,0.32075471698113206,0.37735849056603776
27,vix==0 & lastday_direction==0 has_130,0.3384615384615385,0.3230769230769231,0.3384615384615385
28,vix==0 & lastday_direction==1 has_104,0.2692307692307692,0.28846153846153844,0.4423076923076923
29,vix==1 & weekday==0 has_13,0.23076923076923078,0.5384615384615384,0.23076923076923078
30,vix==1 & weekday==1 has_15,0.3333333333333333,0.5333333333333333,0.13333333333333333
31,vix==1 & weekday==2 has_16,0.375,0.375,0.25
32,vix==1 & weekday==3 has_17,0.47058823529411764,0.4117647058823529,0.11764705882352941
33,vix==1 & nzd_direction==0 has_54,0.2962962962962963,0.48148148148148145,0.2222222222222222
34,vix==1 & nzd_direction==1 has_16,0.5,0.375,0.125
35,vix==1 & tec_direction==-1 has_33,0.3333333333333333,0.45454545454545453,0.21212121212121213
36,vix==1 & tec_direction==0 has_18,0.3333333333333333,0.4444444444444444,0.2222222222222222
37,vix==1 & tec_direction==1 has_26,0.3076923076923077,0.5384615384615384,0.15384615384615385
38,vix==1 & lastday_direction==-1 has_35,0.2857142857142857,0.5142857142857142,0.2
39,vix==1 & lastday_direction==0 has_17,0.4117647058823529,0.29411764705882354,0.29411764705882354
40,vix==1 & lastday_direction==1 has_25,0.32,0.56,0.12
41,vix==2 & nzd_direction==0 has_18,0.3333333333333333,0.4444444444444444,0.2222222222222222
42,vix==2 & tec_direction==-1 has_15,0.3333333333333333,0.3333333333333333,0.3333333333333333
43,vix==2 & lastday_direction==-1 has_12,0.25,0.5833333333333334,0.16666666666666666
44,weekday==0 & nzd_direction==0 has_57,0.3508771929824561,0.2631578947368421,0.38596491228070173
45,weekday==0 & nzd_direction==1 has_24,0.25,0.375,0.375
46,weekday==0 & tec_direction==-1 has_23,0.391304347826087,0.2608695652173913,0.34782608695652173
47,weekday==0 & tec_direction==0 has_42,0.19047619047619047,0.30952380952380953,0.5
48,weekday==0 & tec_direction==1 has_25,0.4,0.32,0.28
49,weekday==0 & lastday_direction==-1 has_30,0.36666666666666664,0.3,0.3333333333333333
50,weekday==0 & lastday_direction==0 has_30,0.26666666666666666,0.3333333333333333,0.4
51,weekday==0 & lastday_direction==1 has_30,0.26666666666666666,0.26666666666666666,0.4666666666666667
52,weekday==1 & nzd_direction==-1 has_13,0.46153846153846156,0.38461538461538464,0.15384615384615385
53,weekday==1 & nzd_direction==0 has_65,0.3230769230769231,0.4153846153846154,0.26153846153846155
54,weekday==1 & nzd_direction==1 has_11,0.45454545454545453,0.36363636363636365,0.18181818181818182
55,weekday==1 & tec_direction==-1 has_23,0.43478260869565216,0.30434782608695654,0.2608695652173913
56,weekday==1 & tec_direction==0 has_44,0.29545454545454547,0.4318181818181818,0.2727272727272727
57,weekday==1 & tec_direction==1 has_22,0.4090909090909091,0.45454545454545453,0.13636363636363635
58,weekday==1 & lastday_direction==-1 has_28,0.17857142857142858,0.6071428571428571,0.21428571428571427
59,weekday==1 & lastday_direction==0 has_36,0.4722222222222222,0.25,0.2777777777777778
60,weekday==1 & lastday_direction==1 has_25,0.4,0.4,0.2
61,weekday==2 & nzd_direction==-1 has_11,0.09090909090909091,0.2727272727272727,0.6363636363636364
62,weekday==2 & nzd_direction==0 has_59,0.288135593220339,0.4067796610169492,0.3050847457627119
63,weekday==2 & nzd_direction==1 has_21,0.23809523809523808,0.23809523809523808,0.5238095238095238
64,weekday==2 & tec_direction==-1 has_20,0.2,0.35,0.45
65,weekday==2 & tec_direction==0 has_45,0.3111111111111111,0.37777777777777777,0.3111111111111111
66,weekday==2 & tec_direction==1 has_26,0.19230769230769232,0.3076923076923077,0.5
67,weekday==2 & lastday_direction==-1 has_36,0.25,0.3333333333333333,0.4166666666666667
68,weekday==2 & lastday_direction==0 has_21,0.2857142857142857,0.2857142857142857,0.42857142857142855
69,weekday==2 & lastday_direction==1 has_34,0.23529411764705882,0.4117647058823529,0.35294117647058826
70,weekday==3 & nzd_direction==-1 has_12,0.08333333333333333,0.3333333333333333,0.5833333333333334
71,weekday==3 & nzd_direction==0 has_55,0.36363636363636365,0.36363636363636365,0.2727272727272727
72,weekday==3 & nzd_direction==1 has_24,0.3333333333333333,0.375,0.2916666666666667
73,weekday==3 & tec_direction==-1 has_21,0.38095238095238093,0.3333333333333333,0.2857142857142857
74,weekday==3 & tec_direction==0 has_43,0.32558139534883723,0.3023255813953488,0.37209302325581395
75,weekday==3 & tec_direction==1 has_27,0.25925925925925924,0.48148148148148145,0.25925925925925924
76,weekday==3 & lastday_direction==-1 has_32,0.375,0.375,0.25
77,weekday==3 & lastday_direction==0 has_36,0.2222222222222222,0.4444444444444444,0.3333333333333333
78,weekday==3 & lastday_direction==1 has_23,0.391304347826087,0.21739130434782608,0.391304347826087
79,nzd_direction==-1 & tec_direction==-1 has_17,0.29411764705882354,0.29411764705882354,0.4117647058823529
80,nzd_direction==-1 & tec_direction==0 has_24,0.16666666666666666,0.2916666666666667,0.5416666666666666
81,nzd_direction==-1 & tec_direction==1 has_13,0.15384615384615385,0.46153846153846156,0.38461538461538464
82,nzd_direction==-1 & lastday_direction==-1 has_14,0.14285714285714285,0.5,0.35714285714285715
83,nzd_direction==-1 & lastday_direction==0 has_18,0.3333333333333333,0.2222222222222222,0.4444444444444444
84,nzd_direction==-1 & lastday_direction==1 has_22,0.13636363636363635,0.3181818181818182,0.5454545454545454
85,nzd_direction==0 & tec_direction==-1 has_72,0.3333333333333333,0.3472222222222222,0.3194444444444444
86,nzd_direction==0 & tec_direction==0 has_143,0.3006993006993007,0.36363636363636365,0.3356643356643357
87,nzd_direction==0 & tec_direction==1 has_81,0.37037037037037035,0.345679012345679,0.2839506172839506
88,nzd_direction==0 & lastday_direction==-1 has_115,0.3130434782608696,0.3739130434782609,0.3130434782608696
89,nzd_direction==0 & lastday_direction==0 has_96,0.34375,0.34375,0.3125
90,nzd_direction==0 & lastday_direction==1 has_85,0.32941176470588235,0.3411764705882353,0.32941176470588235
91,nzd_direction==1 & tec_direction==-1 has_20,0.5,0.3,0.2
92,nzd_direction==1 & tec_direction==0 has_50,0.3,0.36,0.34
93,nzd_direction==1 & tec_direction==1 has_30,0.2,0.4,0.4
94,nzd_direction==1 & lastday_direction==-1 has_30,0.3333333333333333,0.4,0.26666666666666666
95,nzd_direction==1 & lastday_direction==0 has_38,0.3157894736842105,0.3157894736842105,0.3684210526315789
96,nzd_direction==1 & lastday_direction==1 has_32,0.28125,0.375,0.34375
97,tec_direction==-1 & lastday_direction==-1 has_47,0.3404255319148936,0.3191489361702128,0.3404255319148936
98,tec_direction==-1 & lastday_direction==0 has_39,0.41025641025641024,0.28205128205128205,0.3076923076923077
99,tec_direction==-1 & lastday_direction==1 has_23,0.30434782608695654,0.43478260869565216,0.2608695652173913
100,tec_direction==0 & lastday_direction==-1 has_75,0.30666666666666664,0.4,0.29333333333333333
101,tec_direction==0 & lastday_direction==0 has_80,0.325,0.3125,0.3625
102,tec_direction==0 & lastday_direction==1 has_62,0.20967741935483872,0.3548387096774194,0.43548387096774194
103,tec_direction==1 & lastday_direction==-1 has_37,0.24324324324324326,0.4594594594594595,0.2972972972972973
104,tec_direction==1 & lastday_direction==0 has_33,0.2727272727272727,0.3939393939393939,0.3333333333333333
105,tec_direction==1 & lastday_direction==1 has_54,0.37037037037037035,0.2962962962962963,0.3333333333333333
